episode,policy,outcome,frames,median_off,max_off,left_manifold_at,frac_off,reached_phase,ended_at_phase,deepest_at,phase_0,phase_1,phase_2,phase_3,phase_4,phase_5,phase_6,phase_7,phase_8,phase_9
2066,molmoact2,failure,1012,0.46,0.7,,0.0,0.752,0.28,0.0,0.41,0.58,0.53,0.48,0.4,0.38,0.4,0.46,0.52,0.46
2067,molmoact2,failure,1017,0.44,0.69,,0.0,0.75,0.286,0.001,0.39,0.51,0.49,0.45,0.47,0.44,0.38,0.43,0.43,0.4
2068,molmoact2,failure,996,0.45,0.68,,0.0,0.756,0.281,0.009,0.44,0.53,0.49,0.44,0.41,0.45,0.44,0.47,0.4,0.41
2069,grootn1.7,failure,881,0.41,0.85,,0.0,0.867,0.264,0.042,0.52,0.46,0.35,0.31,0.26,0.43,0.38,0.18,0.5,0.48
2070,grootn1.7,failure,881,0.63,1.54,0.667,0.228,0.641,0.282,0.0,0.4,0.64,0.24,0.35,0.29,0.6,0.8,1.06,1.09,0.93
2071,grootn1.7,failure,889,0.58,1.41,0.676,0.1,0.808,0.35,0.161,0.26,0.46,0.28,0.56,0.51,0.58,0.78,1.01,0.8,0.74
2072,grootn1.7,failure,888,0.52,0.74,,0.0,0.862,0.288,0.057,0.52,0.56,0.52,0.54,0.36,0.5,0.52,0.61,0.54,0.42
2073,grootn1.7,failure,897,0.43,1.74,0.812,0.188,0.865,0.604,0.642,0.29,0.38,0.4,0.18,0.36,0.5,0.49,0.41,1.31,1.41
2074,grootn1.7,failure,891,0.48,1.4,0.737,0.062,0.84,0.271,0.0,0.39,0.52,0.44,0.49,0.38,0.47,0.47,0.82,0.88,0.41
2075,grootn1.7,failure,483,0.38,0.78,,0.0,0.556,0.108,0.015,0.17,0.46,0.39,0.56,0.26,0.3,0.35,0.31,0.42,0.43
2076,grootn1.7,failure,732,0.41,0.72,,0.0,0.886,0.283,0.67,0.36,0.33,0.51,0.46,0.44,0.29,0.39,0.34,0.5,0.37
2077,grootn1.7,failure,556,0.64,1.01,0.114,0.004,0.919,0.241,0.016,0.18,0.64,0.49,0.76,0.47,0.38,0.8,0.67,0.81,0.66
2078,grootn1.7,failure,881,0.45,0.71,,0.0,0.562,0.11,0.0,0.48,0.4,0.52,0.6,0.33,0.47,0.45,0.43,0.45,0.47
2079,grootn1.7,failure,850,0.58,1.17,0.76,0.078,0.864,0.626,0.004,0.33,0.55,0.41,0.66,0.58,0.52,0.75,0.81,0.85,0.82
2080,grootn1.7,failure,883,0.43,0.68,,0.0,0.562,0.309,0.014,0.19,0.4,0.44,0.41,0.47,0.51,0.46,0.38,0.43,0.51
2081,grootn1.7,failure,867,0.45,0.9,,0.0,0.876,0.106,0.006,0.31,0.41,0.46,0.38,0.43,0.59,0.77,0.65,0.35,0.41
2082,grootn1.7,failure,161,0.29,0.56,,0.0,0.968,0.312,0.05,0.09,0.12,0.28,0.28,0.41,0.36,0.28,0.27,0.42,0.26
2083,grootn1.7,failure,865,0.62,1.64,0.635,0.277,0.894,0.604,0.047,0.31,0.45,0.43,0.62,0.4,0.5,1.07,0.96,0.98,1.15
2084,grootn1.7,failure,739,0.67,1.15,0.473,0.054,0.869,0.81,0.005,0.45,0.51,0.66,0.76,0.59,0.81,0.86,0.8,0.55,0.72
2085,grootn1.7,failure,898,0.56,0.95,,0.0,0.915,0.203,0.8,0.58,0.63,0.86,0.62,0.44,0.29,0.53,0.61,0.5,0.5
2086,grootn1.7,failure,908,0.56,0.79,,0.0,0.933,0.616,0.003,0.5,0.59,0.66,0.61,0.7,0.65,0.44,0.49,0.36,0.42
2087,grootn1.7,failure,901,0.37,0.83,,0.0,0.915,0.271,0.096,0.33,0.59,0.55,0.42,0.31,0.46,0.33,0.27,0.37,0.3
2088,grootn1.7,failure,897,0.5,0.82,,0.0,0.896,0.89,0.085,0.63,0.6,0.34,0.42,0.43,0.37,0.53,0.39,0.35,0.49
2089,grootn1.7,failure,897,0.45,0.85,,0.0,0.437,0.276,0.544,0.54,0.5,0.3,0.51,0.43,0.35,0.45,0.41,0.4,0.48
2090,grootn1.7,failure,899,0.66,1.08,0.276,0.048,0.891,0.321,0.002,0.54,0.66,0.84,0.9,0.87,0.79,0.57,0.57,0.56,0.63
2091,grootn1.7,failure,462,0.64,1.91,0.668,0.333,0.803,0.556,0.805,0.62,0.5,0.34,0.44,0.4,0.83,0.75,1.41,1.61,1.5
2092,grootn1.7,failure,902,0.28,0.65,,0.0,0.79,0.709,0.036,0.45,0.25,0.27,0.27,0.31,0.29,0.24,0.32,0.28,0.26
2093,grootn1.7,failure,897,0.49,1.16,0.221,0.098,0.893,0.253,0.008,0.53,0.61,0.92,0.98,0.56,0.44,0.29,0.35,0.38,0.46
2094,grootn1.7,failure,899,0.58,1.14,0.03,0.014,0.926,0.532,0.0,0.78,0.65,0.34,0.4,0.34,0.36,0.73,0.72,0.64,0.57
2095,grootn1.7,failure,906,0.36,0.77,,0.0,0.946,0.514,0.002,0.31,0.23,0.39,0.37,0.36,0.56,0.46,0.3,0.38,0.31
2096,grootn1.7,failure,900,0.61,1.45,0.793,0.051,0.935,0.381,0.001,0.39,0.53,0.74,0.71,0.58,0.48,0.41,0.75,0.83,0.64
2097,grootn1.7,failure,895,0.6,1.98,0.017,0.268,0.603,0.324,0.134,0.68,0.36,0.39,0.33,0.34,0.45,0.68,1.03,1.69,1.66
2098,grootn1.7,failure,902,0.43,0.91,,0.0,0.561,0.146,0.001,0.39,0.6,0.57,0.41,0.4,0.38,0.43,0.42,0.39,0.36
2099,pi0,failure,1156,0.3,0.81,,0.0,0.599,0.23,0.151,0.4,0.22,0.33,0.23,0.3,0.47,0.65,0.25,0.26,0.28
2100,pi0,failure,1044,0.32,0.64,,0.0,0.892,0.152,0.592,0.22,0.28,0.28,0.36,0.35,0.29,0.36,0.49,0.56,0.51
2101,pi0,failure,1145,0.39,0.68,,0.0,0.43,0.341,0.001,0.41,0.44,0.4,0.45,0.44,0.41,0.32,0.28,0.32,0.31
2102,pi0,failure,1159,0.49,0.71,,0.0,0.282,0.273,0.005,0.26,0.3,0.44,0.54,0.56,0.53,0.55,0.56,0.52,0.57
2103,pi0,failure,1145,0.35,0.82,,0.0,0.843,0.588,0.004,0.26,0.4,0.53,0.49,0.29,0.15,0.26,0.35,0.61,0.62
2104,pi0,failure,1148,0.28,0.62,,0.0,0.518,0.212,0.0,0.41,0.42,0.32,0.26,0.24,0.32,0.27,0.27,0.26,0.33
2105,pi0,failure,1156,0.47,0.74,,0.0,0.565,0.281,0.584,0.28,0.27,0.47,0.5,0.45,0.52,0.48,0.49,0.6,0.62
2106,pi0,failure,1154,0.32,0.67,,0.0,0.672,0.087,0.743,0.33,0.32,0.35,0.26,0.16,0.3,0.28,0.3,0.5,0.48
2107,pi0,failure,1156,0.19,0.71,,0.0,0.603,0.235,0.754,0.33,0.19,0.17,0.16,0.21,0.19,0.13,0.38,0.24,0.15
2108,pi0,failure,1156,0.52,0.81,,0.0,0.469,0.363,0.0,0.32,0.41,0.53,0.44,0.53,0.64,0.66,0.48,0.55,0.61
2109,pi0,failure,1162,0.54,1.03,0.235,0.019,0.853,0.397,0.204,0.26,0.28,0.76,0.9,0.71,0.61,0.7,0.54,0.51,0.49
2110,pi0,failure,1162,0.37,0.83,,0.0,0.838,0.341,0.0,0.28,0.62,0.61,0.34,0.27,0.26,0.34,0.43,0.39,0.38
2111,pi0,failure,1134,0.58,1.23,0.154,0.017,0.89,0.398,0.01,0.28,0.77,0.73,0.64,0.51,0.51,0.46,0.61,0.61,0.6
2112,pi0,failure,1166,0.6,0.76,,0.0,0.888,0.347,0.006,0.54,0.65,0.57,0.46,0.59,0.6,0.64,0.67,0.64,0.52
2113,pi0,failure,1166,0.41,0.89,,0.0,0.81,0.341,0.001,0.2,0.71,0.47,0.35,0.31,0.33,0.41,0.52,0.41,0.41
2114,pi0,failure,1166,0.59,0.88,,0.0,0.875,0.533,0.004,0.51,0.7,0.78,0.72,0.53,0.45,0.51,0.62,0.56,0.59
2115,pi0,failure,1166,0.77,1.01,0.667,0.025,0.888,0.886,0.364,0.62,0.5,0.62,0.69,0.65,0.81,0.9,0.89,0.93,0.93
2116,pi0,failure,1166,0.57,0.9,,0.0,0.981,0.503,0.116,0.26,0.29,0.28,0.66,0.74,0.77,0.72,0.55,0.47,0.6
2117,pi0,failure,725,0.67,1.06,0.394,0.044,0.981,0.324,0.019,0.14,0.21,0.32,0.52,0.95,0.82,0.75,0.81,0.75,0.64
2118,pi0,failure,1166,0.76,1.16,0.064,0.152,0.847,0.315,0.002,0.55,1.06,0.9,0.81,0.81,0.73,0.74,0.77,0.64,0.57
2119,pi0,failure,657,0.36,0.93,,0.0,0.981,0.518,0.017,0.19,0.22,0.25,0.28,0.31,0.51,0.8,0.8,0.65,0.67
2120,pi0,failure,726,0.6,1.06,0.226,0.017,0.892,0.853,0.0,0.18,0.24,0.85,0.7,0.74,0.67,0.71,0.56,0.56,0.58
2121,pi0,failure,448,0.68,1.19,0.416,0.257,0.981,0.441,0.016,0.11,0.18,0.21,0.4,1.08,1.11,1.01,0.87,0.65,0.71
2122,pi0,failure,1086,0.64,0.9,,0.0,0.983,0.851,0.028,0.09,0.52,0.61,0.66,0.62,0.74,0.71,0.78,0.65,0.62
2123,pi0,failure,1165,0.46,0.89,,0.0,0.971,0.341,0.129,0.27,0.3,0.54,0.5,0.63,0.58,0.42,0.42,0.45,0.48
2124,pi0,failure,739,0.29,0.37,,0.0,0.983,0.014,0.203,0.19,0.26,0.28,0.29,0.31,0.3,0.29,0.28,0.33,0.31
2125,pi0,failure,1166,0.5,0.87,,0.0,0.971,0.341,0.001,0.27,0.29,0.69,0.81,0.55,0.57,0.47,0.5,0.5,0.52
2126,pi0,failure,1166,0.28,0.94,,0.0,0.983,0.473,0.001,0.28,0.28,0.29,0.29,0.27,0.27,0.26,0.65,0.65,0.54
2127,pi0,failure,1166,0.59,1.01,0.472,0.01,0.981,0.388,0.005,0.22,0.31,0.36,0.45,0.89,0.75,0.63,0.67,0.63,0.59
2128,pi0,failure,1165,0.52,1.03,0.193,0.009,0.971,0.398,0.0,0.23,0.51,0.85,0.65,0.34,0.55,0.59,0.59,0.46,0.39
2129,pi0.5,failure,1157,0.26,0.61,,0.0,0.939,0.527,0.474,0.44,0.35,0.11,0.08,0.16,0.37,0.22,0.34,0.27,0.4
2130,pi0.5,failure,1152,0.3,0.76,,0.0,0.716,0.462,0.748,0.37,0.3,0.2,0.24,0.22,0.39,0.58,0.64,0.4,0.24
2131,pi0.5,failure,1156,0.28,0.83,,0.0,0.824,0.658,0.028,0.62,0.36,0.48,0.29,0.32,0.2,0.25,0.25,0.17,0.17
2132,pi0.5,failure,1149,0.31,0.85,,0.0,0.961,0.73,0.872,0.42,0.34,0.17,0.51,0.37,0.31,0.13,0.11,0.12,0.45
2133,pi0.5,failure,1106,0.37,0.7,,0.0,0.935,0.4,0.324,0.33,0.22,0.23,0.28,0.34,0.29,0.4,0.5,0.59,0.56
2134,pi0.5,failure,1105,0.3,0.86,,0.0,0.936,0.743,0.513,0.52,0.24,0.46,0.21,0.31,0.36,0.42,0.3,0.2,0.18
2135,pi0.5,failure,1139,0.31,0.76,,0.0,0.971,0.455,0.678,0.3,0.37,0.21,0.2,0.22,0.49,0.2,0.32,0.19,0.41
2136,pi0.5,failure,1059,0.28,0.72,,0.0,0.905,0.413,0.689,0.28,0.48,0.24,0.35,0.32,0.21,0.23,0.3,0.3,0.39
2137,pi0.5,failure,1048,0.27,0.69,,0.0,0.938,0.388,0.421,0.27,0.22,0.23,0.24,0.36,0.46,0.34,0.22,0.43,0.29
2138,pi0.5,failure,1050,0.32,0.61,,0.0,0.779,0.281,0.0,0.31,0.21,0.19,0.28,0.33,0.36,0.35,0.41,0.33,0.33
2139,pi0.5,failure,1049,0.24,0.58,,0.0,0.881,0.237,0.698,0.37,0.24,0.13,0.27,0.2,0.22,0.17,0.25,0.25,0.41
2140,pi0.5,failure,1057,0.25,0.75,,0.0,0.913,0.304,0.475,0.27,0.36,0.21,0.26,0.27,0.22,0.22,0.23,0.53,0.3
2141,pi0.5,failure,1050,0.23,0.62,,0.0,0.852,0.678,0.957,0.26,0.2,0.22,0.21,0.16,0.37,0.36,0.21,0.21,0.15
2142,pi0.5,failure,1015,0.4,0.96,0.549,0.001,0.951,0.758,0.3,0.37,0.21,0.18,0.27,0.2,0.41,0.68,0.81,0.61,0.52
2143,pi0.5,failure,202,0.4,0.73,,0.0,0.24,0.111,0.035,0.1,0.43,0.46,0.43,0.35,0.26,0.43,0.4,0.39,0.46
2144,pi0.5,failure,1056,0.27,0.6,,0.0,0.464,0.363,0.545,0.31,0.31,0.29,0.37,0.26,0.23,0.23,0.24,0.26,0.32
2145,pi0.5,failure,1060,0.24,0.79,,0.0,0.912,0.22,0.791,0.3,0.22,0.2,0.19,0.2,0.31,0.23,0.2,0.41,0.43
2146,pi0.5,failure,1052,0.26,0.7,,0.0,0.961,0.471,0.348,0.47,0.43,0.32,0.12,0.41,0.26,0.17,0.24,0.18,0.25
2147,pi0.5,failure,1055,0.23,0.68,,0.0,0.891,0.557,0.149,0.47,0.49,0.35,0.16,0.25,0.22,0.18,0.3,0.19,0.14
2148,pi0.5,failure,1042,0.3,0.79,,0.0,0.953,0.479,0.378,0.3,0.18,0.19,0.19,0.57,0.36,0.25,0.28,0.47,0.47
2149,pi0.5,failure,1057,0.22,0.72,,0.0,0.584,0.48,0.592,0.35,0.22,0.24,0.25,0.23,0.23,0.38,0.17,0.16,0.16
2150,pi0.5,failure,1052,0.24,0.6,,0.0,0.94,0.765,0.986,0.23,0.29,0.21,0.24,0.33,0.33,0.26,0.26,0.23,0.2
2151,pi0.5,failure,1055,0.22,0.81,,0.0,0.899,0.477,0.735,0.43,0.4,0.25,0.18,0.19,0.14,0.26,0.18,0.57,0.19
2152,pi0.5,failure,166,0.31,0.56,,0.0,0.425,0.391,0.976,0.06,0.21,0.41,0.38,0.31,0.32,0.31,0.34,0.39,0.39
2153,pi0.5,failure,1061,0.24,0.63,,0.0,0.904,0.525,0.002,0.44,0.23,0.19,0.24,0.23,0.22,0.5,0.3,0.21,0.25
2154,pi0.5,failure,1059,0.26,0.66,,0.0,0.877,0.496,0.511,0.23,0.48,0.22,0.3,0.26,0.19,0.33,0.29,0.28,0.22
2155,pi0.5,failure,833,0.29,0.81,,0.0,0.964,0.251,0.601,0.37,0.23,0.19,0.34,0.31,0.21,0.25,0.51,0.15,0.37
2156,pi0.5,failure,1054,0.35,0.78,,0.0,0.913,0.372,0.56,0.35,0.52,0.54,0.19,0.43,0.15,0.42,0.43,0.26,0.24
2157,pi0.5,failure,151,0.28,0.64,,0.0,0.42,0.42,0.0,0.06,0.21,0.36,0.59,0.36,0.28,0.35,0.24,0.24,0.21
2158,pi0.5,failure,573,0.36,0.74,,0.0,0.961,0.18,0.014,0.25,0.29,0.51,0.56,0.55,0.35,0.27,0.29,0.41,0.29
