episode,task,policy,outcome,frames,seconds,closures,closures_per_s,closed_frac
427,block_stack,molmoact2,failure,320,16.0,3,0.1875,0.35
428,block_stack,molmoact2,failure,373,18.6,5,0.2681,0.483
429,block_stack,molmoact2,failure,350,17.5,5,0.2857,0.217
430,block_stack,molmoact2,failure,359,17.9,3,0.1671,0.708
431,block_stack,molmoact2,failure,367,18.4,2,0.109,0.88
432,block_stack,molmoact2,failure,370,18.5,7,0.3784,0.378
433,block_stack,molmoact2,failure,376,18.8,6,0.3191,0.359
434,block_stack,molmoact2,failure,374,18.7,6,0.3209,0.433
435,block_stack,molmoact2,failure,375,18.8,2,0.1067,0.861
436,block_stack,molmoact2,failure,373,18.6,4,0.2145,0.622
437,block_stack,molmoact2,failure,359,17.9,6,0.3343,0.554
438,block_stack,molmoact2,failure,340,17.0,6,0.3529,0.347
439,block_stack,molmoact2,failure,311,15.6,4,0.2572,0.469
440,block_stack,molmoact2,failure,431,21.6,7,0.3248,0.471
441,block_stack,molmoact2,failure,421,21.1,7,0.3325,0.482
442,block_stack,molmoact2,failure,412,20.6,7,0.3398,0.374
443,block_stack,molmoact2,failure,400,20.0,7,0.35,0.432
444,block_stack,molmoact2,failure,416,20.8,5,0.2404,0.575
445,block_stack,molmoact2,failure,437,21.9,5,0.2288,0.716
446,block_stack,molmoact2,failure,490,24.5,7,0.2857,0.339
447,block_stack,molmoact2,failure,505,25.2,8,0.3168,0.424
448,block_stack,molmoact2,failure,500,25.0,3,0.12,0.84
449,block_stack,molmoact2,failure,511,25.6,9,0.3523,0.348
450,block_stack,molmoact2,failure,505,25.2,2,0.0792,0.933
451,block_stack,molmoact2,failure,476,23.8,8,0.3361,0.292
452,block_stack,molmoact2,failure,438,21.9,9,0.411,0.317
453,block_stack,molmoact2,successful,269,13.4,3,0.223,0.758
454,block_stack,molmoact2,failure,407,20.4,3,0.1474,0.727
455,block_stack,molmoact2,failure,318,15.9,5,0.3145,0.305
456,block_stack,molmoact2,failure,400,20.0,6,0.3,0.482
457,block_stack,molmoact2,failure,427,21.4,6,0.281,0.225
458,block_stack,molmoact2,failure,419,20.9,8,0.3819,0.334
459,block_stack,molmoact2,failure,372,18.6,4,0.2151,0.683
460,block_stack,molmoact2,failure,500,25.0,7,0.28,0.64
461,block_stack,molmoact2,failure,497,24.9,4,0.161,0.845
462,block_stack,molmoact2,failure,508,25.4,2,0.0787,0.927
463,block_stack,molmoact2,failure,499,24.9,6,0.2405,0.285
464,block_stack,molmoact2,failure,501,25.1,8,0.3194,0.349
465,block_stack,molmoact2,failure,503,25.1,9,0.3579,0.326
466,block_stack,molmoact2,successful,451,22.6,5,0.2217,0.652
467,block_stack,molmoact2,failure,505,25.2,8,0.3168,0.226
468,block_stack,molmoact2,failure,502,25.1,7,0.2789,0.384
469,block_stack,molmoact2,failure,473,23.6,8,0.3383,0.336
470,block_stack,grootn1.7,failure,460,23.0,6,0.2609,0.359
471,block_stack,grootn1.7,failure,463,23.1,8,0.3456,0.281
472,block_stack,grootn1.7,failure,465,23.2,5,0.2151,0.735
473,block_stack,grootn1.7,failure,440,22.0,5,0.2273,0.175
474,block_stack,grootn1.7,failure,439,21.9,6,0.2733,0.551
475,block_stack,grootn1.7,failure,436,21.8,6,0.2752,0.401
476,block_stack,grootn1.7,successful,304,15.2,3,0.1974,0.724
477,block_stack,grootn1.7,failure,438,21.9,6,0.274,0.785
478,block_stack,grootn1.7,successful,290,14.5,3,0.2069,0.731
479,block_stack,grootn1.7,successful,240,12.0,3,0.25,0.637
480,block_stack,grootn1.7,failure,442,22.1,4,0.181,0.251
481,block_stack,grootn1.7,failure,449,22.4,4,0.1782,0.479
482,block_stack,grootn1.7,failure,440,22.0,7,0.3182,0.434
483,block_stack,grootn1.7,failure,436,21.8,5,0.2294,0.596
484,block_stack,grootn1.7,failure,444,22.2,3,0.1351,0.417
485,block_stack,grootn1.7,failure,439,21.9,3,0.1367,0.629
486,block_stack,grootn1.7,successful,180,9.0,3,0.3333,0.661
487,block_stack,grootn1.7,failure,428,21.4,7,0.3271,0.682
488,block_stack,grootn1.7,failure,438,21.9,7,0.3196,0.372
489,block_stack,grootn1.7,successful,451,22.6,4,0.1774,0.483
490,block_stack,grootn1.7,failure,417,20.9,4,0.1918,0.722
491,block_stack,grootn1.7,failure,377,18.9,6,0.3183,0.719
492,block_stack,grootn1.7,failure,369,18.4,1,0.0542,0.198
493,block_stack,grootn1.7,failure,416,20.8,8,0.3846,0.587
494,block_stack,grootn1.7,failure,435,21.8,9,0.4138,0.568
495,block_stack,grootn1.7,successful,216,10.8,4,0.3704,0.736
496,block_stack,grootn1.7,failure,433,21.6,4,0.1848,0.418
497,block_stack,grootn1.7,failure,449,22.4,7,0.3118,0.51
498,block_stack,grootn1.7,successful,250,12.5,3,0.24,0.756
499,block_stack,grootn1.7,successful,448,22.4,6,0.2679,0.406
500,block_stack,pi0,failure,570,28.5,5,0.1754,0.818
501,block_stack,pi0,failure,538,26.9,12,0.4461,0.574
502,block_stack,pi0,failure,550,27.5,8,0.2909,0.762
503,block_stack,pi0,failure,545,27.2,5,0.1835,0.873
504,block_stack,pi0,successful,176,8.8,3,0.3409,0.614
505,block_stack,pi0,failure,565,28.2,13,0.4602,0.568
506,block_stack,pi0,failure,545,27.2,4,0.1468,0.789
507,block_stack,pi0,failure,555,27.8,6,0.2162,0.823
508,block_stack,pi0,successful,180,9.0,3,0.3333,0.572
509,block_stack,pi0,failure,562,28.1,12,0.427,0.714
510,block_stack,pi0,failure,546,27.3,3,0.1099,0.738
511,block_stack,pi0,successful,200,10.0,3,0.3,0.68
512,block_stack,pi0,failure,558,27.9,10,0.3584,0.642
513,block_stack,pi0,successful,320,16.0,3,0.1875,0.781
514,block_stack,pi0,successful,324,16.2,3,0.1852,0.778
515,block_stack,pi0,failure,555,27.8,6,0.2162,0.741
516,block_stack,pi0,failure,529,26.4,6,0.2268,0.69
517,block_stack,pi0,failure,548,27.4,5,0.1825,0.794
518,block_stack,pi0,failure,554,27.7,9,0.3249,0.634
519,block_stack,pi0,failure,552,27.6,10,0.3623,0.685
520,block_stack,pi0,failure,556,27.8,10,0.3597,0.673
521,block_stack,pi0,failure,541,27.1,8,0.2957,0.499
522,block_stack,pi0,failure,537,26.9,10,0.3724,0.639
523,block_stack,pi0,failure,555,27.8,9,0.3243,0.622
524,block_stack,pi0,successful,170,8.5,3,0.3529,0.594
525,block_stack,pi0,successful,244,12.2,3,0.2459,0.672
526,block_stack,pi0,successful,204,10.2,3,0.2941,0.77
527,block_stack,pi0,successful,230,11.5,3,0.2609,0.765
528,block_stack,pi0,failure,562,28.1,8,0.2847,0.673
529,block_stack,pi0,successful,230,11.5,3,0.2609,0.726
530,block_stack,pi0.5,successful,250,12.5,3,0.24,0.732
531,block_stack,pi0.5,successful,220,11.0,4,0.3636,0.668
532,block_stack,pi0.5,failure,564,28.2,9,0.3191,0.528
533,block_stack,pi0.5,failure,561,28.1,8,0.2852,0.578
534,block_stack,pi0.5,successful,480,24.0,4,0.1667,0.752
535,block_stack,pi0.5,failure,556,27.8,8,0.2878,0.567
536,block_stack,pi0.5,failure,565,28.2,10,0.354,0.508
537,block_stack,pi0.5,successful,209,10.4,3,0.2871,0.675
538,block_stack,pi0.5,failure,568,28.4,5,0.1761,0.752
539,block_stack,pi0.5,successful,240,12.0,3,0.25,0.667
540,block_stack,pi0.5,successful,236,11.8,4,0.339,0.703
541,block_stack,pi0.5,failure,545,27.2,8,0.2936,0.516
542,block_stack,pi0.5,successful,400,20.0,6,0.3,0.598
543,block_stack,pi0.5,failure,562,28.1,3,0.1068,0.9
544,block_stack,pi0.5,failure,570,28.5,7,0.2456,0.388
545,block_stack,pi0.5,successful,190,9.5,3,0.3158,0.668
546,block_stack,pi0.5,successful,300,15.0,6,0.4,0.663
547,block_stack,pi0.5,failure,557,27.9,4,0.1436,0.664
548,block_stack,pi0.5,successful,190,9.5,3,0.3158,0.595
549,block_stack,pi0.5,successful,250,12.5,3,0.24,0.668
550,block_stack,pi0.5,successful,388,19.4,4,0.2062,0.758
551,block_stack,pi0.5,failure,569,28.4,11,0.3866,0.344
552,block_stack,pi0.5,failure,542,27.1,9,0.3321,0.557
553,block_stack,pi0.5,failure,553,27.6,4,0.1447,0.741
554,block_stack,pi0.5,failure,560,28.0,9,0.3214,0.484
555,block_stack,pi0.5,failure,562,28.1,9,0.3203,0.505
556,block_stack,pi0.5,failure,557,27.9,8,0.2873,0.388
557,block_stack,pi0.5,successful,500,25.0,9,0.36,0.632
558,block_stack,pi0.5,failure,576,28.8,9,0.3125,0.498
559,block_stack,pi0.5,failure,558,27.9,7,0.2509,0.762
560,block_stack,teleoperated,successful,228,11.4,3,0.2632,0.627
561,block_stack,teleoperated,successful,245,12.2,3,0.2449,0.678
562,block_stack,teleoperated,successful,290,14.5,3,0.2069,0.748
563,block_stack,teleoperated,successful,286,14.3,3,0.2098,0.706
564,block_stack,teleoperated,successful,233,11.7,3,0.2575,0.708
565,block_stack,teleoperated,successful,213,10.7,3,0.2817,0.662
566,block_stack,teleoperated,successful,219,10.9,3,0.274,0.644
567,block_stack,teleoperated,successful,302,15.1,3,0.1987,0.685
568,block_stack,teleoperated,successful,284,14.2,3,0.2113,0.637
569,block_stack,teleoperated,successful,257,12.8,3,0.2335,0.689
570,block_stack,teleoperated,successful,506,25.3,4,0.1581,0.625
571,block_stack,teleoperated,successful,305,15.2,3,0.1967,0.761
572,block_stack,teleoperated,successful,297,14.8,3,0.202,0.684
573,block_stack,teleoperated,successful,252,12.6,3,0.2381,0.71
574,block_stack,teleoperated,successful,355,17.8,3,0.169,0.715
575,block_stack,teleoperated,successful,402,20.1,4,0.199,0.662
576,block_stack,teleoperated,successful,230,11.5,3,0.2609,0.7
577,block_stack,teleoperated,successful,226,11.3,3,0.2655,0.681
578,block_stack,teleoperated,successful,222,11.1,3,0.2703,0.595
579,block_stack,teleoperated,successful,310,15.5,3,0.1935,0.642
580,block_stack,teleoperated,successful,284,14.2,3,0.2113,0.665
581,block_stack,teleoperated,successful,269,13.4,3,0.223,0.695
582,block_stack,teleoperated,successful,245,12.2,3,0.2449,0.71
583,block_stack,teleoperated,successful,258,12.9,3,0.2326,0.69
584,block_stack,teleoperated,successful,284,14.2,3,0.2113,0.669
585,block_stack,teleoperated,successful,242,12.1,3,0.2479,0.624
586,block_stack,teleoperated,successful,237,11.8,3,0.2532,0.662
587,block_stack,teleoperated,successful,216,10.8,3,0.2778,0.699
588,block_stack,teleoperated,successful,223,11.2,3,0.2691,0.565
589,block_stack,teleoperated,successful,255,12.8,3,0.2353,0.576
590,block_stack,teleoperated,successful,230,11.5,3,0.2609,0.657
591,block_stack,teleoperated,successful,271,13.6,3,0.2214,0.62
592,block_stack,teleoperated,successful,230,11.5,3,0.2609,0.752
593,block_stack,teleoperated,successful,229,11.4,3,0.262,0.721
594,block_stack,teleoperated,successful,279,13.9,3,0.2151,0.728
595,block_stack,teleoperated,successful,185,9.2,3,0.3243,0.616
596,block_stack,teleoperated,successful,249,12.4,3,0.241,0.683
597,block_stack,teleoperated,successful,209,10.4,3,0.2871,0.675
598,block_stack,teleoperated,successful,239,11.9,3,0.251,0.594
599,block_stack,teleoperated,successful,232,11.6,3,0.2586,0.659
600,block_stack,teleoperated,successful,245,12.2,3,0.2449,0.641
601,block_stack,teleoperated,successful,269,13.4,3,0.223,0.706
602,block_stack,teleoperated,successful,254,12.7,3,0.2362,0.594
603,block_stack,teleoperated,successful,244,12.2,3,0.2459,0.643
604,block_stack,teleoperated,successful,243,12.2,3,0.2469,0.671
605,block_stack,teleoperated,successful,257,12.8,3,0.2335,0.696
606,block_stack,teleoperated,successful,211,10.6,3,0.2844,0.649
607,block_stack,teleoperated,successful,272,13.6,3,0.2206,0.739
608,block_stack,teleoperated,successful,233,11.7,3,0.2575,0.7
609,block_stack,teleoperated,successful,219,10.9,3,0.274,0.662
610,tool_insert,diffusion,suboptimal,391,19.6,3,0.1535,0.857
611,tool_insert,diffusion,failure,393,19.6,5,0.2545,0.733
612,tool_insert,diffusion,failure,397,19.9,3,0.1511,0.826
613,tool_insert,diffusion,failure,417,20.9,4,0.1918,0.844
614,tool_insert,diffusion,failure,406,20.3,7,0.3448,0.778
615,tool_insert,diffusion,failure,391,19.6,3,0.1535,0.887
616,tool_insert,diffusion,failure,400,20.0,6,0.3,0.637
617,tool_insert,diffusion,suboptimal,415,20.8,3,0.1446,0.846
618,tool_insert,diffusion,failure,411,20.6,5,0.2433,0.783
619,tool_insert,diffusion,failure,408,20.4,6,0.2941,0.605
620,tool_insert,diffusion,failure,394,19.7,4,0.203,0.876
621,tool_insert,diffusion,successful,398,19.9,4,0.201,0.867
622,tool_insert,diffusion,successful,333,16.6,3,0.1802,0.847
623,tool_insert,diffusion,failure,401,20.1,3,0.1496,0.863
624,tool_insert,diffusion,failure,399,19.9,5,0.2506,0.617
625,tool_insert,diffusion,failure,396,19.8,4,0.202,0.831
626,tool_insert,diffusion,successful,312,15.6,3,0.1923,0.795
627,tool_insert,diffusion,successful,350,17.5,3,0.1714,0.829
628,tool_insert,diffusion,failure,405,20.2,4,0.1975,0.773
629,tool_insert,diffusion,successful,304,15.2,3,0.1974,0.803
630,tool_insert,diffusion,successful,316,15.8,3,0.1899,0.839
631,tool_insert,diffusion,failure,417,20.9,2,0.0959,0.923
632,tool_insert,diffusion,suboptimal,385,19.2,3,0.1558,0.834
633,tool_insert,diffusion,failure,408,20.4,6,0.2941,0.564
634,tool_insert,diffusion,failure,413,20.6,9,0.4358,0.692
635,tool_insert,diffusion,failure,413,20.6,9,0.4358,0.53
636,tool_insert,diffusion,failure,403,20.1,7,0.3474,0.603
637,tool_insert,diffusion,successful,410,20.5,3,0.1463,0.856
638,tool_insert,diffusion,failure,395,19.8,5,0.2532,0.803
639,tool_insert,diffusion,failure,377,18.9,7,0.3714,0.602
640,tool_insert,act,suboptimal,461,23.1,4,0.1735,0.852
641,tool_insert,act,successful,456,22.8,3,0.1316,0.89
642,tool_insert,act,suboptimal,478,23.9,7,0.2929,0.724
643,tool_insert,act,failure,466,23.3,9,0.3863,0.687
644,tool_insert,act,failure,469,23.4,8,0.3412,0.595
645,tool_insert,act,failure,455,22.8,9,0.3956,0.571
646,tool_insert,act,failure,464,23.2,7,0.3017,0.823
647,tool_insert,act,failure,460,23.0,9,0.3913,0.667
648,tool_insert,act,failure,457,22.9,8,0.3501,0.619
649,tool_insert,act,failure,474,23.7,4,0.1688,0.895
650,tool_insert,act,suboptimal,479,23.9,3,0.1253,0.866
651,tool_insert,act,suboptimal,455,22.8,3,0.1319,0.846
652,tool_insert,act,failure,458,22.9,6,0.262,0.603
653,tool_insert,act,failure,462,23.1,12,0.5195,0.667
654,tool_insert,act,failure,458,22.9,7,0.3057,0.683
655,tool_insert,act,failure,461,23.1,14,0.6074,0.456
656,tool_insert,act,failure,468,23.4,5,0.2137,0.791
657,tool_insert,act,failure,459,22.9,8,0.3486,0.564
658,tool_insert,act,suboptimal,458,22.9,3,0.131,0.934
659,tool_insert,act,failure,461,23.1,8,0.3471,0.575
660,tool_insert,act,suboptimal,350,17.5,4,0.2286,0.783
661,tool_insert,act,failure,359,17.9,7,0.39,0.632
662,tool_insert,act,failure,489,24.4,8,0.3272,0.628
663,tool_insert,act,failure,469,23.4,3,0.1279,0.925
664,tool_insert,act,failure,452,22.6,2,0.0885,0.934
665,tool_insert,act,failure,453,22.6,5,0.2208,0.841
666,tool_insert,act,failure,458,22.9,10,0.4367,0.465
667,tool_insert,act,failure,459,22.9,2,0.0871,0.954
668,tool_insert,act,suboptimal,442,22.1,5,0.2262,0.898
669,tool_insert,act,failure,479,23.9,10,0.4175,0.532
670,tool_insert,act,failure,648,32.4,11,0.3395,0.616
671,tool_insert,act,failure,676,33.8,7,0.2071,0.848
672,tool_insert,act,failure,659,33.0,11,0.3338,0.502
673,tool_insert,act,failure,285,14.2,6,0.4211,0.674
674,tool_insert,act,failure,507,25.4,4,0.1578,0.72
675,tool_insert,act,failure,653,32.6,13,0.3982,0.536
676,tool_insert,act,failure,208,10.4,2,0.1923,0.865
677,tool_insert,act,failure,642,32.1,12,0.3738,0.654
678,tool_insert,act,failure,665,33.2,11,0.3308,0.632
679,tool_insert,act,failure,291,14.6,5,0.3436,0.715
680,tool_insert,act,failure,626,31.3,11,0.3514,0.569
681,tool_insert,act,failure,646,32.3,2,0.0619,0.322
682,tool_insert,act,suboptimal,659,33.0,3,0.091,0.907
683,tool_insert,act,successful,638,31.9,3,0.094,0.892
684,tool_insert,act,successful,557,27.9,4,0.1436,0.847
685,tool_insert,act,failure,660,33.0,5,0.1515,0.814
686,tool_insert,act,failure,628,31.4,7,0.2229,0.83
687,tool_insert,act,failure,652,32.6,16,0.4908,0.537
688,tool_insert,act,failure,655,32.8,9,0.2748,0.734
689,tool_insert,act,suboptimal,620,31.0,5,0.1613,0.465
690,tool_insert,act,failure,665,33.2,15,0.4511,0.598
691,tool_insert,act,failure,676,33.8,13,0.3846,0.518
692,tool_insert,act,failure,648,32.4,11,0.3395,0.651
693,tool_insert,act,failure,629,31.4,12,0.3816,0.533
694,tool_insert,act,successful,330,16.5,3,0.1818,0.785
695,tool_insert,act,failure,638,31.9,13,0.4075,0.483
696,tool_insert,act,successful,543,27.1,3,0.1105,0.855
697,tool_insert,act,successful,364,18.2,3,0.1648,0.802
698,tool_insert,act,failure,649,32.5,11,0.339,0.681
699,tool_insert,act,successful,536,26.8,3,0.1119,0.91
700,tool_insert,smolvla,failure,441,22.1,3,0.1361,0.76
701,tool_insert,smolvla,suboptimal,456,22.8,3,0.1316,0.844
702,tool_insert,smolvla,failure,468,23.4,6,0.2564,0.808
703,tool_insert,smolvla,failure,442,22.1,5,0.2262,0.731
704,tool_insert,smolvla,suboptimal,451,22.6,5,0.2217,0.856
705,tool_insert,smolvla,failure,444,22.2,9,0.4054,0.532
706,tool_insert,smolvla,failure,455,22.8,6,0.2637,0.646
707,tool_insert,smolvla,suboptimal,449,22.4,5,0.2227,0.826
708,tool_insert,smolvla,suboptimal,276,13.8,3,0.2174,0.79
709,tool_insert,smolvla,failure,442,22.1,10,0.4525,0.629
710,tool_insert,smolvla,failure,435,21.8,9,0.4138,0.487
711,tool_insert,smolvla,failure,459,22.9,11,0.4793,0.542
712,tool_insert,smolvla,failure,463,23.1,7,0.3024,0.765
713,tool_insert,smolvla,failure,451,22.6,9,0.3991,0.561
714,tool_insert,smolvla,failure,460,23.0,6,0.2609,0.75
715,tool_insert,smolvla,failure,450,22.5,9,0.4,0.636
716,tool_insert,smolvla,failure,456,22.8,5,0.2193,0.857
717,tool_insert,smolvla,failure,444,22.2,3,0.1351,0.881
718,tool_insert,smolvla,failure,454,22.7,7,0.3084,0.725
719,tool_insert,smolvla,failure,440,22.0,6,0.2727,0.868
720,tool_insert,smolvla,failure,442,22.1,4,0.181,0.871
721,tool_insert,smolvla,suboptimal,444,22.2,4,0.1802,0.867
722,tool_insert,smolvla,failure,455,22.8,7,0.3077,0.754
723,tool_insert,smolvla,failure,460,23.0,3,0.1304,0.911
724,tool_insert,smolvla,failure,454,22.7,5,0.2203,0.881
725,tool_insert,smolvla,failure,433,21.6,3,0.1386,0.926
726,tool_insert,smolvla,failure,441,22.1,2,0.0907,0.946
727,tool_insert,smolvla,failure,443,22.1,6,0.2709,0.783
728,tool_insert,smolvla,failure,442,22.1,3,0.1357,0.939
729,tool_insert,smolvla,failure,456,22.8,9,0.3947,0.529
730,tool_insert,smolvla,suboptimal,647,32.4,6,0.1855,0.75
731,tool_insert,smolvla,successful,320,16.0,3,0.1875,0.831
732,tool_insert,smolvla,suboptimal,330,16.5,4,0.2424,0.818
733,tool_insert,smolvla,successful,580,29.0,3,0.1034,0.884
734,tool_insert,smolvla,failure,641,32.0,6,0.1872,0.839
735,tool_insert,smolvla,failure,639,31.9,8,0.2504,0.728
736,tool_insert,smolvla,suboptimal,390,19.5,3,0.1538,0.828
737,tool_insert,smolvla,suboptimal,430,21.5,3,0.1395,0.835
738,tool_insert,smolvla,failure,623,31.1,8,0.2568,0.745
739,tool_insert,smolvla,failure,625,31.2,8,0.256,0.741
740,tool_insert,smolvla,failure,624,31.2,8,0.2564,0.617
741,tool_insert,smolvla,failure,624,31.2,4,0.1282,0.843
742,tool_insert,smolvla,suboptimal,276,13.8,3,0.2174,0.797
743,tool_insert,smolvla,failure,633,31.6,8,0.2528,0.75
744,tool_insert,smolvla,failure,648,32.4,7,0.216,0.798
745,tool_insert,smolvla,failure,639,31.9,7,0.2191,0.715
746,tool_insert,smolvla,failure,619,30.9,5,0.1616,0.803
747,tool_insert,smolvla,failure,646,32.3,13,0.4025,0.457
748,tool_insert,smolvla,failure,640,32.0,5,0.1562,0.814
749,tool_insert,smolvla,failure,634,31.7,9,0.2839,0.812
750,tool_insert,smolvla,failure,645,32.2,9,0.2791,0.687
751,tool_insert,smolvla,failure,633,31.6,14,0.4423,0.499
752,tool_insert,smolvla,failure,568,28.4,4,0.1408,0.741
753,tool_insert,smolvla,failure,615,30.8,7,0.2276,0.793
754,tool_insert,smolvla,failure,653,32.6,8,0.245,0.712
755,tool_insert,smolvla,failure,678,33.9,4,0.118,0.844
756,tool_insert,smolvla,failure,643,32.1,8,0.2488,0.722
757,tool_insert,smolvla,failure,435,21.8,5,0.2299,0.775
758,tool_insert,smolvla,failure,625,31.2,7,0.224,0.728
759,tool_insert,smolvla,failure,630,31.5,6,0.1905,0.76
760,tool_insert,molmoact2,failure,429,21.4,4,0.1865,0.221
761,tool_insert,molmoact2,failure,432,21.6,4,0.1852,0.648
762,tool_insert,molmoact2,failure,443,22.1,4,0.1806,0.296
763,tool_insert,molmoact2,failure,492,24.6,2,0.0813,0.384
764,tool_insert,molmoact2,failure,485,24.2,4,0.1649,0.619
765,tool_insert,molmoact2,failure,524,26.2,10,0.3817,0.374
766,tool_insert,molmoact2,failure,526,26.3,6,0.2281,0.38
767,tool_insert,molmoact2,failure,481,24.1,3,0.1247,0.888
768,tool_insert,molmoact2,failure,502,25.1,5,0.1992,0.404
769,tool_insert,molmoact2,failure,456,22.8,4,0.1754,0.601
770,tool_insert,molmoact2,failure,468,23.4,4,0.1709,0.387
771,tool_insert,molmoact2,failure,478,23.9,8,0.3347,0.626
772,tool_insert,molmoact2,failure,464,23.2,4,0.1724,0.718
773,tool_insert,molmoact2,failure,495,24.8,6,0.2424,0.521
774,tool_insert,molmoact2,successful,329,16.4,3,0.1824,0.702
775,tool_insert,molmoact2,failure,441,22.1,4,0.1814,0.576
776,tool_insert,molmoact2,failure,345,17.2,2,0.1159,0.919
777,tool_insert,molmoact2,failure,448,22.4,8,0.3571,0.576
778,tool_insert,molmoact2,successful,324,16.2,3,0.1852,0.806
779,tool_insert,molmoact2,successful,324,16.2,3,0.1852,0.821
780,tool_insert,molmoact2,failure,485,24.2,7,0.2887,0.581
781,tool_insert,molmoact2,failure,442,22.1,7,0.3167,0.64
782,tool_insert,molmoact2,failure,463,23.1,6,0.2592,0.7
783,tool_insert,molmoact2,failure,182,9.1,2,0.2198,0.83
784,tool_insert,molmoact2,successful,351,17.6,4,0.2279,0.689
785,tool_insert,molmoact2,failure,457,22.9,8,0.3501,0.665
786,tool_insert,molmoact2,suboptimal,473,23.6,3,0.1268,0.863
787,tool_insert,molmoact2,failure,473,23.6,4,0.1691,0.82
788,tool_insert,molmoact2,suboptimal,310,15.5,3,0.1935,0.826
789,tool_insert,molmoact2,failure,485,24.2,3,0.1237,0.847
790,tool_insert,molmoact2,failure,582,29.1,2,0.0687,0.557
791,tool_insert,molmoact2,failure,602,30.1,3,0.0997,0.875
792,tool_insert,molmoact2,failure,587,29.4,3,0.1022,0.678
793,tool_insert,molmoact2,failure,604,30.2,4,0.1325,0.523
794,tool_insert,molmoact2,failure,608,30.4,3,0.0987,0.785
795,tool_insert,molmoact2,failure,574,28.7,3,0.1045,0.338
796,tool_insert,molmoact2,failure,590,29.5,5,0.1695,0.824
797,tool_insert,molmoact2,failure,178,8.9,3,0.3371,0.792
798,tool_insert,molmoact2,failure,600,30.0,6,0.2,0.482
799,tool_insert,molmoact2,failure,598,29.9,2,0.0669,0.938
800,tool_insert,molmoact2,failure,674,33.7,5,0.1484,0.276
801,tool_insert,molmoact2,failure,673,33.6,4,0.1189,0.634
802,tool_insert,molmoact2,failure,647,32.4,5,0.1546,0.807
803,tool_insert,molmoact2,failure,635,31.8,2,0.063,0.104
804,tool_insert,molmoact2,failure,538,26.9,4,0.1487,0.888
805,tool_insert,molmoact2,failure,526,26.3,4,0.1521,0.681
806,tool_insert,molmoact2,failure,541,27.1,4,0.1479,0.811
807,tool_insert,molmoact2,failure,528,26.4,2,0.0758,0.93
808,tool_insert,molmoact2,failure,543,27.1,12,0.442,0.346
809,tool_insert,molmoact2,failure,546,27.3,2,0.0733,0.94
810,tool_insert,molmoact2,failure,486,24.3,4,0.1646,0.774
811,tool_insert,molmoact2,failure,577,28.9,4,0.1386,0.886
812,tool_insert,molmoact2,failure,579,28.9,4,0.1382,0.794
813,tool_insert,molmoact2,failure,573,28.6,5,0.1745,0.843
814,tool_insert,molmoact2,suboptimal,579,28.9,3,0.1036,0.883
815,tool_insert,molmoact2,failure,571,28.6,8,0.2802,0.469
816,tool_insert,molmoact2,successful,335,16.8,3,0.1791,0.842
817,tool_insert,molmoact2,failure,525,26.2,3,0.1143,0.811
818,tool_insert,molmoact2,failure,181,9.1,2,0.221,0.89
819,tool_insert,molmoact2,suboptimal,544,27.2,4,0.1471,0.89
820,tool_insert,grootn1.7,successful,354,17.7,4,0.226,0.794
821,tool_insert,grootn1.7,failure,351,17.6,4,0.2279,0.758
822,tool_insert,grootn1.7,failure,352,17.6,2,0.1136,0.923
823,tool_insert,grootn1.7,failure,345,17.2,2,0.1159,0.904
824,tool_insert,grootn1.7,successful,340,17.0,3,0.1765,0.776
825,tool_insert,grootn1.7,failure,352,17.6,6,0.3409,0.767
826,tool_insert,grootn1.7,failure,353,17.6,3,0.17,0.875
827,tool_insert,grootn1.7,suboptimal,352,17.6,5,0.2841,0.759
828,tool_insert,grootn1.7,successful,347,17.4,3,0.1729,0.761
829,tool_insert,grootn1.7,suboptimal,296,14.8,3,0.2027,0.703
830,tool_insert,grootn1.7,successful,330,16.5,3,0.1818,0.788
831,tool_insert,grootn1.7,failure,322,16.1,5,0.3106,0.63
832,tool_insert,grootn1.7,suboptimal,316,15.8,4,0.2532,0.525
833,tool_insert,grootn1.7,failure,352,17.6,6,0.3409,0.693
834,tool_insert,grootn1.7,failure,353,17.6,7,0.3966,0.782
835,tool_insert,grootn1.7,failure,347,17.4,7,0.4035,0.622
836,tool_insert,grootn1.7,failure,354,17.7,6,0.339,0.768
837,tool_insert,grootn1.7,failure,361,18.1,2,0.1108,0.928
838,tool_insert,grootn1.7,failure,352,17.6,3,0.1705,0.696
839,tool_insert,grootn1.7,failure,327,16.4,5,0.3058,0.569
840,tool_insert,grootn1.7,suboptimal,336,16.8,3,0.1786,0.699
841,tool_insert,grootn1.7,suboptimal,316,15.8,4,0.2532,0.636
842,tool_insert,grootn1.7,failure,347,17.4,4,0.2305,0.21
843,tool_insert,grootn1.7,suboptimal,344,17.2,3,0.1744,0.808
844,tool_insert,grootn1.7,suboptimal,354,17.7,2,0.113,0.384
845,tool_insert,grootn1.7,suboptimal,359,17.9,5,0.2786,0.791
846,tool_insert,grootn1.7,suboptimal,357,17.9,3,0.1681,0.815
847,tool_insert,grootn1.7,suboptimal,346,17.3,3,0.1734,0.815
848,tool_insert,grootn1.7,successful,319,15.9,3,0.1881,0.699
849,tool_insert,grootn1.7,failure,347,17.4,3,0.1729,0.695
850,tool_insert,pi0,failure,476,23.8,4,0.1681,0.805
