episode,policy,outcome,frames,median_off,max_off,left_manifold_at,frac_off,reached_phase,ended_at_phase,phase_0,phase_1,phase_2,phase_3,phase_4,phase_5,phase_6,phase_7,phase_8,phase_9
1784,pi0,failure,250,0.3,0.79,,0.0,0.806,0.112,0.08,0.3,0.3,0.33,0.36,0.51,0.24,0.11,0.32,0.52
1785,pi0,successful,257,0.33,1.18,,0.0,0.793,0.684,0.09,0.31,0.41,0.37,0.32,0.45,0.42,0.31,0.29,0.16
1786,pi0,successful,278,0.3,1.24,0.437,0.007,0.806,0.685,0.11,0.32,0.37,0.26,0.59,0.52,0.25,0.36,0.15,0.11
1787,pi0,successful,232,0.32,0.75,,0.0,0.905,0.795,0.11,0.29,0.41,0.37,0.7,0.54,0.34,0.38,0.18,0.06
1788,pi0,successful,167,0.2,0.57,,0.0,0.903,0.883,0.08,0.2,0.4,0.27,0.32,0.29,0.32,0.12,0.1,0.12
1789,pi0,successful,179,0.2,0.4,,0.0,0.9,0.874,0.06,0.14,0.28,0.31,0.24,0.27,0.27,0.17,0.11,0.09
1790,pi0,successful,156,0.18,0.42,,0.0,0.827,0.806,0.1,0.16,0.27,0.17,0.31,0.18,0.23,0.21,0.18,0.09
1791,pi0,successful,160,0.26,0.57,,0.0,0.858,0.799,0.09,0.21,0.31,0.32,0.44,0.23,0.38,0.4,0.13,0.09
1792,pi0,failure,197,0.4,0.79,,0.0,0.73,0.185,0.1,0.43,0.3,0.4,0.68,0.57,0.35,0.33,0.55,0.39
1793,pi0,failure,417,0.25,0.77,,0.0,0.848,0.118,0.17,0.38,0.21,0.19,0.22,0.57,0.24,0.13,0.54,0.49
1794,pi0,successful,148,0.26,0.52,,0.0,0.817,0.74,0.07,0.18,0.39,0.24,0.36,0.27,0.26,0.39,0.25,0.16
1795,pi0,failure,159,0.31,0.61,,0.0,0.438,0.39,0.07,0.19,0.45,0.31,0.28,0.33,0.28,0.33,0.41,0.35
1796,pi0,failure,483,0.35,0.73,,0.0,0.828,0.242,0.17,0.32,0.18,0.25,0.41,0.55,0.38,0.48,0.39,0.12
1797,pi0,successful,172,0.21,0.52,,0.0,0.906,0.818,0.08,0.25,0.3,0.31,0.25,0.34,0.39,0.15,0.11,0.08
1798,pi0,successful,145,0.2,0.45,,0.0,0.875,0.791,0.1,0.14,0.2,0.23,0.23,0.18,0.17,0.31,0.2,0.09
1799,pi0,failure,477,0.33,0.8,,0.0,0.813,0.287,0.24,0.28,0.2,0.34,0.63,0.53,0.39,0.21,0.36,0.35
1800,pi0,successful,171,0.2,0.52,,0.0,0.905,0.812,0.08,0.24,0.3,0.26,0.28,0.28,0.35,0.16,0.09,0.06
1801,pi0,failure,240,0.34,0.82,,0.0,0.79,0.364,0.1,0.29,0.39,0.33,0.32,0.23,0.48,0.41,0.36,0.48
1802,pi0,failure,484,0.32,0.91,,0.0,0.924,0.312,0.21,0.24,0.39,0.12,0.29,0.44,0.51,0.36,0.4,0.26
1803,pi0,failure,480,0.37,0.76,,0.0,0.824,0.219,0.19,0.28,0.39,0.42,0.42,0.38,0.2,0.31,0.46,0.4
1804,pi0,successful,151,0.19,0.51,,0.0,0.857,0.788,0.09,0.16,0.43,0.24,0.31,0.2,0.12,0.21,0.18,0.07
1805,pi0,successful,162,0.22,0.6,,0.0,0.892,0.804,0.07,0.17,0.36,0.36,0.43,0.17,0.31,0.25,0.18,0.13
1806,pi0,successful,204,0.2,0.59,,0.0,0.953,0.839,0.07,0.18,0.23,0.21,0.3,0.46,0.45,0.13,0.09,0.08
1807,pi0,successful,170,0.26,0.5,,0.0,0.846,0.794,0.08,0.34,0.25,0.4,0.4,0.28,0.26,0.35,0.16,0.09
1808,pi0,successful,222,0.29,0.74,,0.0,0.848,0.76,0.09,0.45,0.19,0.33,0.25,0.47,0.46,0.41,0.19,0.11
1809,pi0.5,successful,137,0.29,0.45,,0.0,0.831,0.787,0.07,0.17,0.38,0.35,0.34,0.29,0.36,0.34,0.18,0.09
1810,pi0.5,successful,162,0.18,0.46,,0.0,0.912,0.899,0.08,0.14,0.28,0.25,0.19,0.29,0.26,0.15,0.09,0.13
1811,pi0.5,successful,144,0.26,0.53,,0.0,0.834,0.768,0.05,0.15,0.4,0.46,0.31,0.19,0.27,0.33,0.25,0.15
1812,pi0.5,successful,151,0.19,0.53,,0.0,0.882,0.857,0.09,0.17,0.42,0.43,0.38,0.2,0.2,0.2,0.11,0.09
1813,pi0.5,failure,358,0.31,1.38,0.961,0.017,0.8,0.412,0.15,0.28,0.54,0.39,0.39,0.34,0.15,0.3,0.37,0.42
1814,pi0.5,successful,160,0.29,0.46,,0.0,0.871,0.772,0.08,0.25,0.38,0.39,0.29,0.26,0.37,0.35,0.13,0.1
1815,pi0.5,successful,176,0.23,0.55,,0.0,0.907,0.861,0.11,0.25,0.23,0.36,0.28,0.39,0.34,0.21,0.09,0.04
1816,pi0.5,successful,144,0.2,0.45,,0.0,0.891,0.779,0.09,0.18,0.23,0.34,0.34,0.21,0.24,0.17,0.2,0.11
1817,pi0.5,successful,161,0.26,0.58,,0.0,0.864,0.81,0.09,0.25,0.36,0.36,0.3,0.24,0.3,0.48,0.14,0.08
1818,pi0.5,successful,160,0.25,0.45,,0.0,0.905,0.79,0.11,0.25,0.31,0.34,0.28,0.21,0.26,0.25,0.23,0.11
1819,pi0.5,successful,147,0.26,0.43,,0.0,0.873,0.845,0.1,0.19,0.36,0.34,0.32,0.26,0.36,0.25,0.14,0.11
1820,pi0.5,successful,156,0.25,0.59,,0.0,0.863,0.814,0.07,0.2,0.37,0.56,0.26,0.23,0.27,0.29,0.17,0.14
1821,pi0.5,successful,474,0.28,0.84,,0.0,0.929,0.707,0.24,0.42,0.17,0.33,0.38,0.2,0.21,0.38,0.2,0.1
1822,pi0.5,successful,160,0.27,0.78,,0.0,0.861,0.791,0.11,0.21,0.6,0.65,0.33,0.29,0.3,0.29,0.22,0.12
1823,pi0.5,failure,476,0.32,0.93,,0.0,0.829,0.084,0.19,0.3,0.72,0.52,0.3,0.43,0.38,0.2,0.23,0.35
1824,pi0.5,failure,482,0.3,1.2,0.775,0.002,0.841,0.288,0.13,0.22,0.26,0.25,0.28,0.6,0.32,0.36,0.68,0.64
1825,pi0.5,failure,480,0.41,0.79,,0.0,0.759,0.337,0.17,0.29,0.33,0.63,0.36,0.45,0.42,0.49,0.53,0.57
1826,pi0.5,failure,412,0.42,0.82,,0.0,0.811,0.351,0.18,0.42,0.27,0.41,0.42,0.29,0.57,0.52,0.4,0.66
1827,pi0.5,successful,156,0.29,0.58,,0.0,0.851,0.764,0.07,0.23,0.36,0.41,0.46,0.28,0.25,0.4,0.21,0.11
1828,pi0.5,failure,481,0.29,0.74,,0.0,0.841,0.098,0.19,0.3,0.27,0.2,0.36,0.4,0.14,0.22,0.51,0.34
1829,pi0.5,successful,155,0.24,0.46,,0.0,0.828,0.74,0.06,0.18,0.28,0.2,0.34,0.27,0.31,0.32,0.25,0.12
1830,pi0.5,successful,140,0.22,0.48,,0.0,0.814,0.741,0.09,0.22,0.32,0.29,0.39,0.3,0.13,0.21,0.15,0.1
1831,pi0.5,successful,312,0.22,0.66,,0.0,0.891,0.72,0.12,0.54,0.31,0.35,0.14,0.12,0.22,0.25,0.31,0.07
1832,pi0.5,successful,148,0.29,0.56,,0.0,0.803,0.762,0.11,0.21,0.33,0.35,0.29,0.27,0.36,0.43,0.24,0.09
1833,pi0.5,failure,480,0.37,1.02,,0.0,0.823,0.496,0.23,0.29,0.44,0.64,0.58,0.38,0.24,0.19,0.48,0.23
1834,pi0.5,failure,478,0.22,0.83,,0.0,0.913,0.35,0.15,0.38,0.27,0.17,0.41,0.14,0.12,0.33,0.43,0.06
1835,pi0.5,failure,479,0.27,0.91,,0.0,0.87,0.448,0.28,0.39,0.49,0.13,0.19,0.28,0.19,0.18,0.32,0.31
1836,pi0.5,failure,471,0.31,1.15,,0.0,0.823,0.204,0.21,0.32,0.4,0.48,0.21,0.2,0.36,0.18,0.44,0.44
1837,pi0.5,successful,330,0.27,0.9,,0.0,0.838,0.618,0.16,0.42,0.28,0.34,0.62,0.24,0.33,0.27,0.24,0.14
1838,pi0.5,successful,330,0.3,0.66,,0.0,0.809,0.621,0.15,0.3,0.44,0.28,0.39,0.28,0.38,0.4,0.2,0.18
